,Country,Country Code,Product market regulation,Barriers to market entry,Business Freedom,Total business density rate,New business density rate,Closed business density rate,Intensity of local competition
0,Austria,AUT,1.44,4.0,75.5,17.3,0.51,,5.62941885
1,Belgium,BEL,1.69,3.0,80.6,78.83,3.71,2.68,5.802305222
2,Bulgaria,BGR,1.93,2.5,64.3,36.75,1.96,0.24,4.813969612
3,Bosnia and Herzegovina,BIH,1.38,4.0,49.3,14.48,1.09,0.84,4.491966248
4,Switzerland,CHE,1.53,1.0,75.7,75.0,4.53,2.41,5.476599693
5,Cyprus,CYP,1.8,1.5,77.0,261.65,17.58,19.21,5.526783943
6,Germany,DEU,1.08,2.5,86.1,11.62,1.35,0.86,5.876191139
7,Denmark,DNK,1.02,1.5,92.5,92.78,10.02,,5.389902115
8,Spain,ESP,1.03,1.0,66.3,85.86,3.03,0.85,5.54508543
9,Estonia,EST,1.29,3.0,75.6,233.2,23.57,2.5,5.779811859
10,Finland,FIN,1.37,2.0,89.9,79.39,4.29,,4.737727642
11,France,FRA,1.57,2.5,80.2,58.57,4.83,,5.792957306
12,United Kingdom,GBR,0.78,3.5,91.1,100.24,15.65,12.36,5.731641293
13,Greece,GRC,1.56,0.0,74.4,13.11,1.44,0.35,5.062120914
14,Croatia,HRV,1.43,2.5,58.9,71.15,5.86,,4.714762688
15,Hungary,HUN,1.32,1.5,61.8,57.95,3.73,3.84,4.245872498
16,Ireland,IRL,1.38,2.0,81.8,70.18,7.05,4.8,5.302785873
17,Iceland,ISL,1.44,1.5,89.5,162.82,9.98,,4.976753712
18,Italy,ITA,1.32,1.5,70.3,43.37,2.96,,5.229665756
19,Lithuania,LTU,1.19,2.5,73.4,69.92,3.31,1.41,5.496658325
20,Luxembourg,LUX,1.68,3.0,69.2,176.83,17.19,,5.315770626
21,Latvia,LVA,1.28,3.0,80.1,121.8,8.0,15.36,5.49009943
22,North Macedonia,MKD,1.38,1.07,82.9,47.61,3.63,3.73,5.378882668
23,Malta,MLT,1.54,2.5,64.0,282.73,17.45,,6.174284458
24,Montenegro,MNE,1.38,1.07,72.9,93.72,11.29,2.98,4.423576832
25,Netherlands,NLD,1.1,3.0,80.5,119.34,2.97,2.15,5.940104485
26,Norway,NOR,1.15,3.5,90.4,92.22,8.62,3.88,5.274128437
27,Poland,POL,1.45,2.0,67.2,15.33,1.44,0.46,5.27769804
28,Portugal,PRT,1.34,2.0,83.2,98.35,6.49,4.07,5.255724907
29,Romania,ROU,1.86,3.0,65.2,84.12,7.32,3.79,4.855969429
30,Serbia,SRB,2.1,1.5,68.3,30.8,1.88,,4.498873234
31,Slovenia,SVN,1.29,1.0,79.5,52.38,3.04,2.77,5.40582943
32,Sweden,SWE,1.11,3.5,89.3,92.92,7.19,3.2,5.505934715
33,Turkey,TUR,2.28,0.5,63.3,16.81,1.51,,5.877568245
34,Czech Republic,CZE,1.3,2.0,72.5,67.41,4.39,1.74,5.778956413
36,Albania,ALB,1.82,2.0,69.1,25.68,1.66,0.12,4.728952408
