Country,TUD,CAC,EPI,TER
Angola,,,,30.68
UAE,,,,1.37
Albania,13.3,58,,7.92
Algeria,,,,47.88
Argentina,27.7,51.8,,10.23
Armenia,32.5,24.9,,10.37
Australia,14.5,47.1,,
Austria,26.9,98,0.63,8.69
Burundi,,,,76.2
Belgium,54.2,96,0.43,10.96
Bulgaria,13.7,10.8,0.19,4.37
Benin,,,,25.56
Burkina Faso,,,,43.6
Bangladesh,,,,37.79
Bosnia and Herzegovina,30,50,,16.11
Brunei Darussalam,,,,34.66
Bhutan,,,,14.88
Botswana,,,,47.64
Belize,9.1,9.1,,
Bermuda,23,,,
Bolivia,39.1,,,69.16
Brazil,18.9,70.5,,
Canada,28.4,30.3,,11.52
Switzerland,15.7,49.2,,12.61
Chile,19.6,17.9,,73.01
Côte d'Ivoire,,,,11.62
China,44.9,40.6,,
Cameroon,6.9,,,16.37
Congo,,,,9.53
Comorps,,,,12.26
Cape Verde,,,,16.54
Colombia,9.5,15.7,,18.22
Costa Rica,19.4,10.6,,7.02
Cyprus,47.7,47.7,0.37,13.61
Czechia,10.5,46.3,0.5,8.27
Djibouti,,,,9.99
Germany,17,56,0.61,11.9
Denmark,67.2,84,0.83,10.86
Dominican Republic,11,,,2.57
Ecuador,,,,54.38
Egypt,43.2,,,67.33
Spain,13.9,73.1,0.5,26.26
Estonia,4.5,18.6,0.23,3.13
Ethiopia,9.6,9.8,,46.43
Finland,64.6,89.3,0.81,15.66
Fiji,,,,30.4
France,7.9,98.5,0.5,16.4
United Kingdom,23.5,26.3,0.16,5.18
Georgia,,,,5.73
Ghana,20.6,14.7,,14.63
Gambia,,,,10.89
Greece,18.6,17.8,0.37,12.5
Guatemala,2.6,,,6.07
Guyana,,,,19.97
"Hong Kong, China",26.1,,,
Croatia,25.8,46.7,,18.23
Haiti,,,,56.77
Hungary,8.5,22.8,,6.64
Indonesia,7,,,79.84
India,12.8,,,77.33
Ireland,24.4,33.5,0.38,9.72
Iceland,90.4,90,,7.74
Israel,28,26.1,,
Italy,34.4,80,0.31,16.99
Jordan,,,,44.84
Japan,17.3,16.7,,7.51
Kenya,,,,22.08
Kazakhstan,49.2,74.7,,7.45
Cambodia,9.6,26.3,,29.29
"Korea, Republic of",10.1,11.8,,18.15
Kosovo,,,,54.48
Lao People's Democratic Republic,15.5,,,10.61
Liberia,,,,41.13
Sri Lanka,15.3,4.8,,53.58
Lesotho,5.8,,,
Lithuania,7.7,7.1,0.11,1.46
Luxembourg,32,55,,9.08
Latvia,12.6,13.8,0.18,3.18
Morocco,,,,5.61
"Moldova, Republic of",23.9,43,,10.03
Madagascar,,,,14.82
Maldives,,,,13.3
Mexico,12.5,9.9,,53.41
North Macedonia,28,49,,16.72
Mali,,,,56.94
Malta,51.4,41.8,0.41,9.13
Myanmar,1,,,24.63
Montenegro,25.9,,,33.41
Mongolia,,,,47.16
Mozambique,,,,16.58
Mauritania,,,,13.57
Mauritius,28.1,0.6,,7.17
Malawi,5.5,18.1,,70.17
Malaysia,8.8,1.3,,
Namibia,17.5,,,46.17
Niger,,,,29.75
Nicaragua,5.3,7.6,,28.96
Netherlands,17.3,78.6,0.67,20.12
Norway,52.5,67,,7.95
Nepal,,,,85.89
New Zealand,17.9,15.9,,
Panama,11.9,1,,
Pakistan,,,,77.97
Peru,5.7,4.8,,37.91
Philippines,8.7,1.6,,21.84
Poland,12.1,17.2,0.37,21.83
Portugal,16.3,72.3,0.37,20.78
Paraguay,6.7,0.7,,61.37
Occupied Palestinian Territory,,,,48.02
Romania,25.2,35,0.27,1.4
Russian Federation,30.5,22.8,,8.03
Rwanda,,,,69.63
Senegal,22.4,29.8,,12.52
Singapore,21.2,18.1,,
Sudan,,,,32.47
Sierra Leone,,,,16.76
El Salvador,19,5,,4.01
Serbia,27.9,55,,22.77
Suriname,,,,10.94
Slovakia,11.2,24.4,0.89,8.19
Slovenia,26.9,70.9,0.71,13.37
Sweden,67,90,0.82,16.56
Eswatini,,,,17.45
Seychelles,2.1,,,21.62
Thailand,3.5,3.1,,
Trinidad and Tobago,19.8,,,
Togo,,,,54.46
Timor-Leste,,,,28.66
Tonga,,,,12.4
Tunisia,20.4,56.9,,17.19
Turkey,8.2,5.9,,11.55
"Taiwan, China",39.3,,,
"Tanzania, United Republic of",24.3,,,67.48
Uganda,,,,26.56
Ukraine,43.8,45.9,,
Uruguay,30.1,94.6,,
United States,10.3,11.5,,
Saint Vincent and the Grenadines,4.9,,,
"Venezuela, Bolivarian Republic of",0.2,2.5,,
Viet Nam,14.6,,,71.25
Samoa,11.8,,,8.95
Yemen,,,,35.24
South Africa,28.1,29.9,,13.25
Zambia,25.9,,,52.71
Zimbabwe,7.5,,,30.08
