Country,Country Code,knowledge_sector
Albania,ALB,0.5
Algeria,DZA,3
Andorra,AND,2.2
Argentina,ARG,25.10820375
Armenia,ARM,2.969265
Australia,AUS,1319.4
Austria,AUT,325.3792781
Azerbaijan,AZE,0.21427
Belarus,BLR,6.073015
Belgium,BEL,218.2959274
Bermuda,BMU,0.13377
Bosnia and Herzegovina,BIH,0.882665
Botswana,BWA,0.2588
Brazil,BRA,207.46342
Bulgaria,BGR,10.916958
Burundi,BDI,0.10702
Canada,CAN,1296.527043
Cayman Islands,CYM,49.6
Central Europe and the Baltics,CEB,1.0599911
Chile,CHL,19.68499447
China,CHN,1.87128759
Colombia,COL,18.667
Costa Rica,CRI,2.82803
Croatia,HRV,10.5125725
Cuba,CUB,3.95358
Cyprus,CYP,6.819556
Czech Republic,CZE,61.19419508
Czechia,,13.4
Denmark,DNK,237.5134678
Djibouti,DJI,0
Ecuador,ECU,1.56618
Egypt Arab Rep.,EGY,0.50899
El Salvador,SLV,0.016985
Estonia,EST,10.40715888
Euro area,EMU,2.09495005
Finland,FIN,336.0533979
France,FRA,1509.221162
Georgia,GEO,1.2
Germany,DEU,4033.282544
Greece,GRC,22.03010895
Guatemala,GTM,0.172355
High income,HIC,2.41526954
Hong Kong SAR China,HKG,0.72733
Hungary,HUN,39.13590707
Iceland,ISL,11.01333333
India,IND,843.871995
Indonesia,IDN,23.6
Iran Islamic Rep.,IRN,0.31655
Ireland,IRL,73.1674483
Israel,ISR,806.478675
Italy,ITA,690.8029173
Jamaica,JAM,0.1
Japan,JPN,21336.64196
Jordan,JOR,9.7
Kazakhstan,KAZ,4.832625
Kenya,KEN,6.7
Korea Rep.,KOR,8.406210885
Kuwait,KWT,3.898605
Kyrgyz Republic,KGZ,0.1661
Latvia,LVA,6.941445627
Lebanon,LBN,7.5
Liechtenstein,LIE,24.5
Lithuania,LTU,10.10295543
Luxembourg,LUX,19.34284191
Macao SAR China,MAC,0.04807
Malaysia,MYS,96.046345
Malta,MLT,10.247236
Mauritius,MUS,0.17773
Mexico,MEX,58.54011418
Moldova,MDA,1.524535
Monaco,MCO,16.4
Mongolia,MNG,0.119565
Montenegro,MNE,2.1
Morocco,MAR,6.8
Netherlands,NLD,501.2657557
New Zealand,NZL,268.9
Nicaragua,NIC,0.10449
Nigeria,NGA,0.3
North America,NAC,2.58902112
North Macedonia,MKD,0.966297211
Norway,NOR,152.1190026
Oman,OMN,0.20837
Pakistan,PAK,6.8
Panama,PAN,4.43767
Paraguay,PRY,0.06515
Peru,PER,3.52765
Philippines,PHL,26.4
Poland,POL,78.25341725
Portugal,PRT,25.71078364
Post-demographic dividend,PST,2.49099109
Puerto Rico,PRI,0
Qatar,QAT,0.4786
Romania,ROU,13.03462281
Russian Federation,RUS,3.611190525
Saudi Arabia,SAU,69.33842
Serbia,SRB,1.72658
Seychelles,SYC,0
Singapore,SGP,215.8616612
Slovak Republic,SVK,18.67221197
Slovakia,,19.6
Slovenia,SVN,24.34874834
South Africa,ZAF,60.70531894
South Asia,SAS,0.74399
South Asia (IDA & IBRD),TSA,0.74399
Spain,ESP,221.3125527
Sri Lanka,LKA,9.3
Sweden,SWE,453.6680416
Switzerland,CHE,667.8605304
Tajikistan,TJK,0.11432
Thailand,THA,49.6
Togo,TGO,0.22324
Trinidad and Tobago,TTO,0.871885
Tunisia,TUN,2.84103
Turkey,TUR,64.78465231
Ukraine,UKR,26.825835
United Arab Emirates,ARE,30.8
United Kingdom,GBR,1237.184053
United States,USA,14664.24644
Upper middle income,UMC,1.28374332
Uruguay,URY,3.7138
Uzbekistan,UZB,1.55105
Venezuela RB,VEN,0.2501
Zimbabwe,ZWE,0.7
