Country,Country Code,owner occupied hosung %,owner occupied with loan %,rent overburden rate,residential loans to GDP,social housing stock,dealing with construction permits score,property tax % gdp
Albania,ALB,96.3,0.65,33.85,,,52.6,
Austria,AUT,55.3,25.2,14.65,29.2,23.6,75,0.53
Belgium,BEL,71.8,43,32.65,53.6,4.2,75.4,3.45
Bulgaria,BGR,83.85,2.5,45.55,8.4,,75,
Switzerland,CHE,42.05,38.15,20,141.3,8,71.7,2.085
Cyprus,CYP,69,18.9,11.8,41,,64,
Czech Republic,CZE,78.65,21.45,26,21.2,0.4,56.2,0.465
Germany,DEU,51.3,25.7,19.6,43.2,2.7,78.1,1.045
Denmark,DNK,60.65,46.65,29.8,83.5,21.4,86.8,1.815
Spain,ESP,76.25,28.9,37.75,41.1,1.1,70.7,2.53
Estonia,EST,82.05,22.25,26.8,29.2,1.1,82.5,0.23
Finland,FIN,71.35,41.75,14.15,41.9,10.5,75.7,1.48
France,FRA,64.6,31.8,16.3,42.8,14,76.5,4.26
United Kingdom,GBR,65.2,37.5,37.7,65,16.7,80.3,4.125
Greece,GRC,74.45,13.45,83.15,30.7,,68.4,3.05
Croatia,HRV,89.9,7.15,33.9,14.1,,54.8,
Hungary,HUN,88.85,15.35,34.65,10.2,2.6,66.2,1.015
Ireland,IRL,69.5,31.85,16.05,25.7,12.7,76.2,1.31
Iceland,ISL,73.6,57.4,17.4,56.7,11.1,71.7,2.05
Italy,ITA,72.4,13.35,29.15,31.5,4.2,68,2.545
Lithuania,LTU,90.1,12.4,26.4,17.1,0.8,84.8,
Luxemburg,LUX,71.05,41.85,30.4,55.1,1.6,83.9,3.745
Latvia,LVA,80.9,12.7,9.9,14.1,1.9,73.4,0.995
Macedonia,MKD,87.1,0.4,50,,,80.4,
Malta,MLT,80.7,22,14.85,44.5,5.5,72.5,
Montenegro,MNE,90.6,1.85,46.25,,,76.9,
Netherlands,NLD,68.9,60.45,26.3,92.3,34.1,69.3,1.565
Norway,NOR,80.8,60.3,34.15,76.2,4.3,80.7,1.255
Poland,POL,84.1,11.75,26.65,20.2,7.6,76.3,1.335
Portugal,PRT,74.2,36.25,26.05,46,2,73.1,1.38
Romania,ROU,96.1,1.1,43.05,7.7,,58.3,
Serbia,SRB,83.85,0.65,63.65,,,83.1,
Slovakia,SVK,91.1,19.6,17.8,31.6,1.6,59.3,0.42
Slovenia,SVN,74.95,12.4,20.55,13.6,4.7,65.1,0.62
Sweden,SWE,63.85,51.55,19.3,86.9,,77.9,0.965
Turkey,TUR,58.9,8.4,32.55,31.8,,69.6,1.075
Kosovo,XKX,97.8,4.7,80.1,,,50.3,
