Country,Country Code,expenditure on research and development,researchers per 1000 employees,expenditure on education,high tech exports,patent applications per million population
Austria,AUT,3.05,10.77,5.25,14.8,235.6333559
Belgium,BEL,2.7,11.37,6.29,9.8,87.99877769
Bulgaria,BGR,0.75,,4.09,5.4,28.54741563
Bosnia and Herzegovina,BIH,0.2,,,,25.95826269
Switzerland,CHE,3.37,9.2,5.05,,158.1904059
Cyprus,CYP,0.56,,5.77,10.2,6.781471325
Germany,DEU,3.04,9.48,4.53,15.1,578.1119427
Denmark,DNK,3.05,15.55,7.33,9.6,258.4570979
Spain,ESP,1.21,6.87,4.07,5.7,46.5088967
Estonia,EST,1.29,7.38,,12,28.08596431
Finland,FIN,2.76,14.57,6.06,6.6,252.3503989
France,FRA,2.21,10.62,5.45,20.6,215.412829
United Kingdom,GBR,1.7,9.23,5.36,18.1,201.3507378
Greece,GRC,1.13,8.39,3.41,4.3,46.30542669
Croatia,HRV,0.86,,,9.2,35.88286765
Hungary,HUN,1.35,6.24,4.19,16,50.67447108
Ireland,IRL,,12.18,,34.5,12.89681632
Iceland,ISL,2.1,10.32,6.67,,104.8340128
Italy,ITA,1.38,5.58,4.04,7.6,142.7728752
Lithuania,LTU,0.9,6.47,3.67,8.1,28.6380689
Luxembourg,LUX,1.3,6.78,3.57,6.9,261.5974887
Latvia,LVA,0.51,3.93,4.4,10.6,46.33805776
North Macedonia,MKD,0.36,0.16,,3.3,
Malta,MLT,0.58,,4.47,25.5,
Montenegro,MNE,0.35,,,1.2,
Netherlands,NLD,1.98,9.14,5.18,21.6,130.8132204
Norway,NOR,2.09,12.24,6.94,,218.3071794
Poland,POL,1.03,7.04,4.56,8.4,103.3316124
Portugal,PRT,1.33,9.36,4.9,4.5,62.5224508
Romania,ROU,0.5,2.03,2.69,7.9,56.05268135
Serbia,SRB,0.87,,3.59,1.9,24.35599751
Slovenia,SVN,1.87,9.41,4.48,5.6,
Sweden,SWE,3.4,14.6,7.06,11.9,198.0572493
Turkey,TUR,0.96,4.02,4.35,2.9,100.7810364
Czech Republic,CZE,1.79,7.33,3.77,16.1,74.94498528
Albania,ALB,,,,0.8,5.568205823
